"age","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
29,0.236325969684325,0.0923333505276664,0.0812638435788156,0,0.029098805919763,0.0378826386030427,0,0,0,0.0315615744002116,0.133583224281532,0.268019391876518
30,0.236737148228733,0.0537021235766643,0.0383183934750653,0,0.0521774391755074,0.0177098036888494,0,0,0,0.0621589335950283,0.310281829110914,0.298760625692173
31,0.10020018930038,0.11667396603209,0.0394525223447528,0,0.0189211402289573,0.0200816494628167,0,0,0,0.0642055465013451,0.396033786286683,0.490859641459005
32,0.346548487793921,0.155756188390199,0.00296603517980238,0,0.0500019001595943,0.0196090009521772,0,0,0,0.0857489889927577,0.534951216766989,0.108356046871476
33,0.225849476117677,0.0883885058057889,0.0381926625440383,0,0.0297109280738535,0.0365586602500363,0,0,0,0.0332629651828471,0.416912703802559,0.0977056155788924
34,0.228956020881269,0.173486084853469,0.0313101449720861,0,0.0523675765893229,0.0247950842818261,0,0,0,0.0253288160863359,0.175620806953386,0.27896844843241
35,0.387092404265808,0.100810551064065,0.0257542053678579,0,0.0217222596397559,0.023005715815609,0,0,0,0.0455778132964961,0.240111331283232,0.336206584764165
36,0.0456952979900045,0.0209680437052483,0.0170239279532706,0,0.0282599053249258,0,0,0,0.0363014920456319,0,0.189743823619689,0.0696958557340055
37,0.126858508495705,0.0272684216346627,0.024382146342906,0,0.020642411374654,0,0,0,0.058651178442721,0,0.369157183798875,0.0498421331072613
38,0.130237329606636,0.0144561440709667,0.0196901181092681,0,0.0271526261254628,0,0,0,0.0267505592663929,0,0.211080225532061,0.0414862962548185
39,0.13524687562011,0.0282426648368495,0.0278753426352238,0,0.0231333017071646,0,0,0,0.051101475805982,0,0.268640173778552,0.0840349225320932
40,0.0694249758856209,0.0291858451184476,0.0224601825356696,0,0.029075060551197,0,0,0,0.0331105247558302,0,0.194418084655411,0.0304949196363885
41,0.0907625102509997,0.0121692919790926,0.014498845983184,0,0.012051494150245,0,0,0,0.0511817383550007,0,0.197761003057644,0.0732936153354429
